[10:44:16.617771 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Server returned nothing (no headers, no data)], but ignore it now
[10:50:46.078624 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[10:50:56.507348 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[18:09:48.720338 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[18:11:44.384366 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[18:22:39.604661 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[18:25:17.142965 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[18:29:56.379603 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[18:44:50.065800 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[19:20:13.403087 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[19:26:50.742532 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[19:28:11.619666 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[19:33:05.645719 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:35:28.931322 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:36:49.093201 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:38:41.468318 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:39:41.003099 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:40:09.682542 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:40:27.533509 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:49:43.658997 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:50:30.964686 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:53:39.874557 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:55:32.843971 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[20:57:54.953396 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
[21:01:00.237366 +00:00] [---E---] [telemetry.cpp] [thread 6074171] Telemetry request failed: [Couldn't resolve host name], but ignore it now
